VendorID,RateCodeID,Passenger_count,Trip_distance,Fare_amount,MTA_tax,Tip_amount,Tolls_amount,improvement_surcharge,Total_amount,Payment_type,Trip_type 
2,1,2,3.68,15,0.5,0,0,0.3,15.8,2,1
2,1,1,4.13,19,0.5,2,0,0.3,21.8,1,1
2,1,5,2.78,17.5,0.5,3.66,0,0.3,21.96,1,1
2,1,1,7.29,23.5,0.5,0,0,0.3,24.3,2,1
2,1,1,3.2,11.5,0.5,0,0,0.3,12.3,2,1
2,1,3,3.93,15.5,0.5,0,0,0.3,16.3,2,1
2,1,1,1.94,9.5,0.5,1.11,0,0.3,11.41,1,1
2,1,1,2.95,12,0.5,3.2,0,0.3,16,1,1
2,1,1,2.52,11,0.5,0,0,0.3,11.8,2,1
2,1,1,2.31,11,0.5,0,0,0.3,11.8,2,1
2,1,1,1.37,6,0.5,1.36,0,0.3,8.16,1,1
2,1,1,1.15,6,0.5,0,0,0.3,6.8,2,1
2,1,1,3.1,12.5,0.5,0,0,0.3,13.3,2,1
2,1,1,0.83,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,0.35,4,0.5,0,0,0.3,4.8,2,1
2,1,1,1.44,8,0.5,1.76,0,0.3,10.56,1,1
2,1,5,1.23,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,3.07,12.5,0.5,1.7,0,0.3,15,1,1
2,1,1,1.02,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,0.9,5,0.5,0,0,0.3,5.8,2,1
2,1,1,4.52,16.5,0.5,0,0,0.3,17.3,1,1
2,1,1,5.4,17.5,0.5,4.77,5.54,0.3,28.61,1,1
2,1,5,1.2,8,0.5,1.76,0,0.3,10.56,1,1
2,1,1,0.29,3,0.5,0,0,0.3,3.8,2,1
2,1,1,1.54,9,0.5,1,0,0.3,10.8,1,1
2,1,1,6.38,24,0.5,4.96,0,0.3,29.76,1,1
2,1,1,1.14,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,6.23,20.5,0.5,0,0,0.3,21.3,2,1
2,1,1,5.98,19.5,0.5,0,0,0.3,20.3,2,1
2,1,1,1.4,9,0.5,1,0,0.3,10.8,1,1
2,1,1,1.5,8,0.5,2.2,0,0.3,11,1,1
2,1,1,4.03,20,0.5,0,0,0.3,20.8,2,1
2,1,1,3.48,15.5,0.5,0,0,0.3,16.3,2,1
2,1,1,3.2,14,0.5,0,0,0.3,14.8,2,1
2,1,1,5.75,22,0.5,4.56,0,0.3,27.36,1,1
2,1,1,5.83,20.5,0.5,6.39,0,0.3,27.69,1,1
2,1,1,1.91,11,0.5,0,0,0.3,11.8,2,1
2,1,1,0.69,4,0.5,0.96,0,0.3,5.76,1,1
2,1,1,2.04,11,0.5,1,0,0.3,12.8,1,1
2,1,1,4.31,14,0.5,2.96,0,0.3,17.76,1,1
2,1,1,0.5,4.5,0.5,1.59,0,0.3,6.89,1,1
2,1,1,1.43,15.5,0.5,3.26,0,0.3,19.56,1,1
2,1,1,2.66,12.5,0.5,0,0,0.3,13.3,2,1
2,1,1,1.13,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,1.43,10.5,0.5,0,0,0.3,11.3,2,1
2,1,1,1.2,6.5,0.5,0,0,0.3,7.3,2,1
2,1,1,0.78,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,3.82,14.5,0.5,3.06,0,0.3,18.36,1,1
2,1,1,3.65,15,0.5,0,0,0.3,15.8,2,1
2,1,1,3.35,21.5,0.5,0,0,0.3,22.3,2,1
2,1,1,3.13,17,0.5,1.2,0,0.3,19,1,1
2,1,1,5.52,23.5,0.5,0,0,0.3,24.3,2,1
2,1,1,1.53,7.5,0.5,1.66,0,0.3,9.96,1,1
2,1,1,5.97,22,0.5,4.56,0,0.3,27.36,1,1
2,1,2,2.47,10,0.5,0,0,0.3,10.8,2,1
2,1,2,0.06,2.5,0.5,0,0,0.3,3.3,2,1
2,1,1,0.63,4.5,0.5,0,0,0.3,5.3,2,1
2,5,2,2.25,7,0,0,0,0,7,2,2
2,1,1,2.13,10.5,0.5,1.7,0,0.3,13,1,1
2,1,1,2.05,10,0.5,2.16,0,0.3,12.96,1,1
2,1,5,5.87,20,0.5,4.16,0,0.3,24.96,1,1
2,1,5,0.98,6,0.5,1.36,0,0.3,8.16,1,1
2,1,1,2.97,12,0.5,2.56,0,0.3,15.36,1,1
2,1,2,3.47,15,0.5,0,0,0.3,15.8,2,1
2,1,1,2.82,10,0.5,0,0,0.3,10.8,2,1
2,1,1,3.57,22.5,0.5,0,0,0.3,23.3,1,1
2,1,1,0.93,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,0.9,6,0.5,0,0,0.3,6.8,2,1
2,1,5,2.44,11.5,0.5,0,0,0.3,12.3,2,1
2,1,1,2.35,10.5,0.5,0,0,0.3,11.3,2,1
2,1,1,7.22,24.5,0.5,0,0,0.3,25.3,2,1
2,1,1,4.24,15.5,0.5,0,0,0.3,16.3,2,1
2,1,1,1.47,7.5,0.5,0,0,0.3,8.3,2,1
2,1,1,0.92,6,0.5,0,0,0.3,6.8,2,1
2,1,1,2.14,13,0.5,2.76,0,0.3,16.56,1,1
2,5,1,2.35,10,0,0,0,0,10,2,2
2,1,1,1.97,9,0.5,0,0,0.3,9.8,2,1
2,1,1,1.37,8,0.5,0,0,0.3,8.8,2,1
2,1,1,2.57,10.5,0.5,0,0,0.3,11.3,2,1
2,1,1,0.98,5,0.5,0,0,0.3,5.8,2,1
2,1,1,0.69,6.5,0.5,0,0,0.3,7.3,1,1
2,1,1,2.59,11,0.5,0,0,0.3,11.8,2,1
2,1,1,5.62,18.5,0.5,0,0,0.3,19.3,2,1
2,1,3,2.49,11.5,0.5,0,0,0.3,12.3,2,1
2,1,1,0.36,4,0.5,0.96,0,0.3,5.76,1,1
2,1,1,1.62,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,1,0.53,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,1.1,5.5,0.5,0,0,0.3,6.3,2,1
2,1,1,1.02,8.5,0.5,1.86,0,0.3,11.16,1,1
2,1,1,3.15,14,0.5,1,0,0.3,15.8,1,1
2,1,1,2.33,11,0.5,0,0,0.3,11.8,2,1
2,1,6,3.92,17,0.5,0,0,0.3,17.8,1,1
2,1,1,2.69,19.5,0.5,5.08,0,0.3,25.38,1,1
2,1,1,0.84,5,0.5,1.16,0,0.3,6.96,1,1
2,1,1,9.83,30,0.5,0,0,0.3,30.8,2,1
2,1,1,1.27,7,0.5,0,0,0.3,7.8,2,1
2,1,2,2.67,12,0.5,0,0,0.3,12.8,2,1
2,1,1,1.88,8.5,0.5,0,0,0.3,9.3,2,1
2,1,1,1.31,7,0.5,0,0,0.3,7.8,2,1
2,1,1,0.93,5.5,0.5,1.26,0,0.3,7.56,1,1
2,1,1,2.95,12,0.5,0,0,0.3,12.8,2,1
2,1,1,2.79,11.5,0.5,2.46,0,0.3,14.76,1,1
2,1,1,0.72,4.5,0.5,0,0,0.3,5.3,2,1
2,1,1,4.62,18.5,0.5,4.82,0,0.3,24.12,1,1
2,1,1,1.55,7.5,0.5,0,0,0.3,8.3,2,1
